language,sent_index,baseline,ic_metric,length,real_dl,real_ic,delta_used,n_dl_matched,p_ic_given_dl
Hindi,65,projective_like,content,14,36,14.0,0,240,0.6166666666666667
Hindi,66,projective_like,content,14,33,14.0,0,208,0.6971153846153846
Hindi,68,projective_like,content,14,40,13.0,0,110,0.5181818181818182
Hindi,72,projective_like,content,14,39,17.0,0,209,0.9234449760765551
Hindi,73,projective_like,content,14,29,13.0,0,134,0.9850746268656716
Hindi,76,projective_like,content,14,35,20.0,0,205,0.9902439024390244
Hindi,79,projective_like,content,14,29,9.0,0,98,0.9183673469387755
Japanese,0,projective_like,content,14,38,12.0,0,142,0.6408450704225352
Japanese,1,projective_like,content,14,37,14.0,0,445,0.5056179775280899
Japanese,3,projective_like,content,14,22,4.0,1,157,0.28662420382165604
Japanese,4,projective_like,content,14,16,2.0,7,90,0.13333333333333333
Japanese,6,projective_like,content,14,30,10.0,0,191,0.29842931937172773
Japanese,7,projective_like,content,14,18,1.0,4,82,0.14634146341463414
Japanese,8,projective_like,content,14,38,20.0,0,175,0.25142857142857145
Japanese,9,projective_like,content,14,17,3.0,6,102,0.14705882352941177
Japanese,11,projective_like,content,14,22,6.0,1,149,0.6912751677852349
Japanese,13,projective_like,content,14,18,2.0,3,88,0.22727272727272727
Japanese,14,projective_like,content,14,33,14.0,0,246,1.0
Japanese,15,projective_like,content,14,16,1.0,6,96,0.010416666666666666
Japanese,16,projective_like,content,14,23,7.0,1,170,0.8529411764705882
Japanese,17,projective_like,content,14,20,4.0,3,122,0.7950819672131147
Japanese,18,projective_like,content,14,19,4.0,3,124,0.21774193548387097
Japanese,20,projective_like,content,14,15,2.0,8,94,0.0425531914893617
Japanese,21,projective_like,content,14,28,4.0,1,218,0.6697247706422018
Japanese,22,projective_like,content,14,17,2.0,4,88,0.23863636363636365
Japanese,25,projective_like,content,14,32,9.0,0,276,0.13405797101449277
Japanese,26,projective_like,content,14,24,6.0,0,144,0.9305555555555556
Japanese,27,projective_like,content,14,21,5.0,3,178,0.056179775280898875
Japanese,28,projective_like,content,14,24,9.0,1,165,0.9515151515151515
Japanese,31,projective_like,content,14,26,8.0,0,94,0.8936170212765957
Japanese,32,projective_like,content,14,17,3.0,5,89,0.10112359550561797
Japanese,33,projective_like,content,14,20,2.0,1,97,0.2268041237113402
Japanese,34,projective_like,content,14,26,4.0,1,186,0.34408602150537637
Japanese,36,projective_like,content,14,35,13.0,0,326,0.38650306748466257
Japanese,37,projective_like,content,14,19,3.0,2,123,0.2764227642276423
Japanese,38,projective_like,content,14,25,5.0,0,142,0.6619718309859155
Japanese,39,projective_like,content,14,26,10.0,0,218,0.9862385321100917
Japanese,40,projective_like,content,14,24,6.0,0,133,0.2631578947368421
Japanese,41,projective_like,content,14,45,18.0,1,124,0.41935483870967744
Japanese,42,projective_like,content,14,24,4.0,1,123,0.8943089430894309
Japanese,43,projective_like,content,14,21,6.0,1,160,0.84375
Japanese,44,projective_like,content,14,19,4.0,4,120,0.041666666666666664
Japanese,45,projective_like,content,14,20,4.0,1,92,0.6847826086956522
Japanese,47,projective_like,content,14,16,1.0,6,97,0.18556701030927836
Japanese,48,projective_like,content,14,25,9.0,1,242,0.9586776859504132
Japanese,49,projective_like,content,14,40,27.0,0,240,1.0
Japanese,50,projective_like,content,14,27,6.0,0,183,0.8032786885245902
Japanese,51,projective_like,content,14,25,5.0,0,93,1.0
Japanese,52,projective_like,content,14,17,2.0,3,90,0.08888888888888889
Japanese,53,projective_like,content,14,30,10.0,0,383,0.7754569190600522
Japanese,54,projective_like,content,14,24,5.0,1,136,0.9264705882352942
Japanese,55,projective_like,content,14,28,8.0,0,262,0.9274809160305344
Japanese,57,projective_like,content,14,20,7.0,2,99,0.9696969696969697
Japanese,58,projective_like,content,14,48,15.0,1,197,0.649746192893401
Japanese,59,projective_like,content,14,20,5.0,1,104,0.9519230769230769
Japanese,60,projective_like,content,14,55,27.0,0,824,0.35315533980582525
Japanese,61,projective_like,content,14,20,3.0,2,99,0.2222222222222222
Japanese,62,projective_like,content,14,23,5.0,1,116,0.3017241379310345
Japanese,63,projective_like,content,14,17,3.0,6,123,0.45528455284552843
Japanese,64,projective_like,content,14,23,8.0,1,154,0.5454545454545454
Japanese,65,projective_like,content,14,25,11.0,0,83,1.0
Japanese,66,projective_like,content,14,27,6.0,0,280,0.9142857142857143
Japanese,67,projective_like,content,14,35,17.0,0,324,0.9166666666666666
Japanese,68,projective_like,content,14,23,2.0,2,92,0.13043478260869565
Japanese,69,projective_like,content,14,25,7.0,0,222,0.8423423423423423
Japanese,70,projective_like,content,14,34,11.0,0,303,0.33663366336633666
Japanese,71,projective_like,content,14,23,5.0,1,138,0.45652173913043476
Japanese,72,projective_like,content,14,21,4.0,2,102,0.38235294117647056
Japanese,73,projective_like,content,14,31,13.0,0,122,0.7622950819672131
Japanese,74,projective_like,content,14,68,51.0,3,83,1.0
Japanese,75,projective_like,content,14,20,5.0,2,111,0.3333333333333333
Japanese,76,projective_like,content,14,24,3.0,1,223,0.17937219730941703
Japanese,78,projective_like,content,14,29,8.0,0,147,0.9727891156462585
Japanese,79,projective_like,content,14,22,5.0,1,156,0.8205128205128205
